year,solar_capital_per_kw,solar_lcoe_per_mwh,onshore_wind_capital_per_kw,onshore_wind_lcoe_per_mwh,offshore_wind_capital_per_kw,offshore_wind_lcoe_per_mwh,battery_capital_per_kw
2023,1150.0,42.0,1500.0,38.0,3200.0,82.0,1400.0
2024,1081.0,39.5,1455.0,36.9,3056.0,78.3,1288.0
2025,1016.0,37.1,1411.0,35.8,2918.0,74.8,1185.0
2026,955.0,34.9,1369.0,34.7,2787.0,71.4,1090.0
2027,898.0,32.8,1328.0,33.6,2662.0,68.2,1003.0
2028,844.0,30.8,1288.0,32.6,2542.0,65.1,923.0
2029,793.0,29.0,1249.0,31.7,2428.0,62.2,849.0
2030,746.0,27.2,1212.0,30.7,2318.0,59.4,781.0
2031,701.0,25.6,1176.0,29.8,2214.0,56.7,719.0
2032,659.0,24.1,1140.0,28.9,2114.0,54.2,661.0
2033,619.0,22.6,1106.0,28.0,2019.0,51.7,608.0
2034,582.0,21.3,1073.0,27.2,1928.0,49.4,559.0
2035,547.0,20.0,1041.0,26.4,1842.0,47.2,515.0
2036,514.0,18.8,1010.0,25.6,1759.0,45.1,474.0
2037,484.0,17.7,979.0,24.8,1680.0,43.0,436.0
2038,455.0,16.6,950.0,24.1,1604.0,41.1,401.0
2039,427.0,15.6,921.0,23.3,1532.0,39.3,369.0
2040,402.0,14.7,894.0,22.6,1463.0,37.5,339.0
